Author,Commits,Percentage
Sergey M․,6359,33.5
Philipp Hagemeister,3794,20.0
Jaime Marquínez Ferrándiz,1425,7.5
Yen Chi Hsuan,1380,7.3
Remita Amine,1279,6.7
remitamine,597,3.1
dirkf,388,2.0
Ricardo Garcia,308,1.6
Sergey M.,243,1.3
Filippo Valsorda,231,1.2
