author,commits,commit_perc
Tim Graham,3374,9.821272632007917
Adrian Holovaty,2802,8.156255457879723
Malcolm Tredinnick,1872,5.449147115328637
Russell Keith-Magee,1741,5.067823252023055
Claude Paroz,1722,5.012516737497817
Mariusz Felisiak,1679,4.8873493625196485
Aymeric Augustin,1399,4.0723059905687835
Jannis Leidel,895,2.6052279210572276
Jacob Kaplan-Moss,893,2.5994061826861503
Simon Charette,753,2.191884496710718
